,Formula,0,10,20,25,30,40,50,60,70,80,90,100
267,RbClO4,1.0,,,1.5,,,,,,,,17.0
268,RbF,,,75.0,,,,,,,,,
269,RbHCO3,,,53.7,,,,,,,,,
270,RbI,55.8,58.6,61.1,62.3,63.4,65.4,67.2,68.8,70.3,71.6,72.7,73.8
271,RbIO3,1.09,1.53,2.07,2.38,2.74,3.52,4.41,5.42,6.52,7.74,9.0,10.36
272,RbNO3,16.4,25.0,34.6,39.4,44.2,53.1,60.8,67.2,72.2,76.1,79.0,81.2
273,RbOH,,,,,63.4,,,,,,,
274,Rb2CrO4,38.27,,,43.26,,,,,,,,
275,Rb2SO4,27.3,30.0,32.5,33.7,34.8,36.9,38.7,40.3,41.8,43.0,44.1,44.9
276,SbCl3,85.7,,,90.8,,,,,,,,
277,SbF3,79.4,,,83.1,,,,,,,,
278,Sc(NO3)3,57.0,59.3,61.6,62.8,63.9,66.2,68.5,,,,,
279,SmCl3,,48.0,48.2,48.4,48.6,49.2,50.0,,,,,
280,Sm(NO3)3,54.83,56.33,58.08,59.05,60.08,62.38,65.05,68.1,70.8,74.2,,
281,SnCl2,46.0,64.0,,,,,,,,,,
282,SnI2,,,0.97,,,,,,,,,3.87
283,SrBr2,46.0,48.3,50.6,51.7,52.9,55.2,57.6,59.9,62.3,64.6,66.8,69.0
284,Sr(BrO3)2,18.53,22.0,25.39,27.02,28.59,31.55,34.21,36.57,38.64,40.2,40.8,41.0
285,SrCl2,31.94,32.93,34.43,35.37,36.43,38.93,41.94,45.44,46.81,47.69,48.7,49.87
286,Sr(ClO2)2,13.0,13.6,14.1,14.3,14.5,14.9,15.3,15.6,15.9,,,
287,Sr(ClO3)2,63.29,63.42,63.64,63.77,63.93,64.29,64.7,65.16,65.65,66.18,66.74,67.31
288,Sr(ClO4)2,70.04,,,75.35,,78.44,,,,,,
289,SrF2,0.011000000000000001,,,0.021,,,,,,,,
290,SrI2,62.5,62.8,63.5,63.9,64.5,65.8,67.3,69.0,70.8,72.7,74.7,79.2
291,Sr(IO3)2,0.102,0.126,0.152,0.165,0.179,0.20600000000000002,0.233,0.259,0.284,0.307,0.32799999999999996,0.34600000000000003
292,Sr(MnO4)2,2.5,,,,,,,,,,,
293,Sr(NO2)2,,,,,41.9,44.3,,,,,,58.6
294,Sr(NO3)2,28.2,34.6,41.0,44.5,47.0,47.4,47.9,48.4,48.9,49.5,50.1,50.7
